"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Duration","Growth Habit","Native Status","State Noxious Status","State Noxious Common Name","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ANGEL","","Angelica","angelica","Dicot","","","L48(N)CAN(I,N)GL(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANAR3","","Angelica arguta","Lyall's angelica","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Summer","Slow","None","High","No","No","No","White","Yes","Green","Porous","Porous","Coarse","Brown","No","Single Crown","Rapid","","6.0","No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","Low","Medium","Medium","165","None","High","6.5","7.5","","","12","20","10","None","Intermediate","-18","Mid Spring","Routinely Available","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","175000","Moderate","Medium","No","None","No","No","No","","No","No","No","","","No","No","","No","No"
"ANCA11","","Angelica canbyi","Canby's angelica","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANGE2","","Angelica genuflexa","kneeling angelica","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANHE","","Angelica hendersonii","Henderson's angelica","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANLU","","Angelica lucida","seacoast angelica","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTO","","Angelica tomentosa","woolly angelica","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTEN","","Antennaria","pussytoes","Dicot","","","L48(N)CAN(N)GL(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANAN2","","Antennaria anaphaloides","pearly pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","Yes","No","White","Yes","Gray-Green","Moderate","Porous","Fine","Yellow","No","Multiple Stem","Moderate","","2.5","No","No","Short","No","None","No","Erect","None","No","Yes","No","None","Low","No","Medium","Low","Medium","120","None","Medium","5.8","7.9","","","14","20","10","Medium","Intermediate","-33","Late Spring","No Known Source","Low","Spring","Summer","No","No","No","No","No","No","Yes","No","Yes","No","7000000","Slow","Medium","No","None","No","No","No","","No","No","No","Low","Low","No","No","","No","No"
"ANCO","","Antennaria corymbosa","flat-top pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","White","No","Gray-Green","Porous","Porous","Fine","Brown","No","Stoloniferous","Slow","","1.0","No","No","Short","No","None","No","Erect","None","No","Yes","No","Medium","Medium","Yes","Low","Low","High","120","None","High","6.0","8.0","2700","11000","18","60","10","None","Tolerant","-18","Spring","No Known Source","Medium","Spring","Summer","No","No","No","Yes","No","No","Yes","No","Yes","No","7000000","Slow","Low","No","Moderate","No","No","No","","No","No","No","Low","","No","No","","No","No"
"ANDI2","","Antennaria dimorpha","low pussytoes","Dicot","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Purple","No","Green","Moderate","Porous","Fine","Brown","No","Stoloniferous","Slow","","0.3","No","No","Short","No","None","No","Prostrate","None","Yes","Yes","No","None","","No","High","Medium","High","120","None","Low","5.8","7.8","1700","4800","12","40","14","Low","Intermediate","-38","Late Spring","No Known Source","Medium","Spring","Summer","No","Yes","No","No","No","No","Yes","No","No","No","7000000","Slow","Low","No","Slow","No","No","No","","No","No","No","Low","Low","No","No","","No","No"
"ANFL2","","Antennaria flagellaris","whip pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANGE3","","Antennaria geyeri","pinewoods pussytoes","Dicot","Perennial","Subshrub, Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANHO","","Antennaria howellii","Howell's pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANHOH","","Antennaria howellii ssp. howellii","Howell's pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANHON","","Antennaria howellii ssp. neodioica","Howell's pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANHOP","","Antennaria howellii ssp. petaloidea","small pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANLA3","","Antennaria lanata","woolly pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANLU2","","Antennaria luzuloides","rush pussytoes","Dicot","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","","None","High","No","No","No","White","Yes","Gray-Green","Moderate","Porous","Medium","White","Yes","Thicket Forming","Slow","2","2.0","No","No","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","No","Low","Medium","Yes","Medium","Low","High","90","None","Medium","5.4","7.4","1700","2700","14","28","12","None","Intolerant","-33","Late Spring","No Known Source","Medium","Spring","Summer","Yes","Yes","No","Yes","No","No","Yes","No","No","No","7000000","Slow","Low","No","Slow","No","No","No","","No","No","No","Low","","No","No","Low","No","No"
"ANLUL","","Antennaria luzuloides ssp. luzuloides","rush pussytoes","Dicot","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANME2","","Antennaria media","Rocky Mountain pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANMI3","","Antennaria microphylla","littleleaf pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","White","No","Green","Porous","Porous","Medium","Brown","No","Stoloniferous","Slow","","1.0","No","No","Short","No","None","No","Erect","None","No","Yes","Yes","None","","No","Medium","Medium","High","90","None","Low","5.9","7.8","","","12","40","12","Low","Intolerant","-38","Mid Spring","Contracting Only","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","8000000","Slow","Low","No","Moderate","No","No","No","","No","No","No","Low","Low","No","No","","No","No"
"ANPA4","","Antennaria parvifolia","small-leaf pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANPU","","Antennaria pulcherrima","showy pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANPUP","","Antennaria pulcherrima ssp. pulcherrima","handsome pussy-toes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANRA","","Antennaria racemosa","raceme pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANRO2","","Antennaria rosea","rosy pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANROA","","Antennaria rosea ssp. arida","rosy pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANROC","","Antennaria rosea ssp. confinis","rosy pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANROP","","Antennaria rosea ssp. pulvinata","pulvinate pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANROR","","Antennaria rosea ssp. rosea","rosy pussytoes","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANST2","","Antennaria stenophylla","narrowleaf pussytoes","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANUM","","Antennaria umbrinella","umber pussytoes","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTHE","","Anthemis","chamomile","Dicot","","","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANAR6","","Anthemis arvensis","corn chamomile","Dicot","Annual","Forb/herb","L48(I)HI(I)CAN(I)","CO(BW)","CO (scentless chamomile)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANAU3","","Anthemis austriaca","Austrian chamomile","Dicot","Annual, Biennial","Forb/herb","L48(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANCO2","","Anthemis cotula","stinking chamomile","Dicot","Annual","Forb/herb","L48(I)AK(I)HI(I)CAN(I)","CO(BW)NV(NW)","CO (mayweed chamomile)NV (mayweed chamomile)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTI","","Anthemis tinctoria","golden chamomile","Dicot","Perennial","Forb/herb","L48(I)AK(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTHO","","Anthoxanthum","hornwort","Monocot","","","L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANAR7","","Anthoxanthum aristatum","annual vernalgrass","Monocot","Annual","Graminoid","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANOD","","Anthoxanthum odoratum","sweet vernalgrass","Monocot","Perennial","Graminoid","L48(I)AK(I)HI(I)CAN(I)GL(I)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANODO2","","Anthoxanthum odoratum ssp. odoratum","sweet vernalgrass","Monocot","Perennial","Graminoid","L48(I)AK(I)HI(I)CAN(I)GL(I)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTHR","","Anthriscus","chervil","Dicot","","","L48(I)CAN(I)GL(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANCA14","","Anthriscus caucalis","bur chervil","Dicot","Annual","Forb/herb","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANCE","","Anthriscus cerefolium","garden chervil","Dicot","Annual","Forb/herb","L48(I)CAN(I)GL(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANSY","","Anthriscus sylvestris","wild chervil","Dicot","Annual, Biennial","Forb/herb","L48(I)CAN(I)GL(I)","MA(P)WA(CBW)","MA (wild chervil)WA (wild chervil)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTIR2","","Antirrhinum","snapdragon","Dicot","","","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANMA3","","Antirrhinum majus","garden snapdragon","Dicot","Annual, Perennial","Forb/herb","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APERA","","Apera","silkybent","Monocot","","","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APIN","","Apera interrupta","dense silkybent","Monocot","Annual","Graminoid","L48(I)HI(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APSP","","Apera spica-venti","loose silkybent","Monocot","Annual","Graminoid","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APHAN4","","Aphanes","parsley piert","Dicot","","","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APAR2","","Aphanes arvensis","field parsley piert","Dicot","Annual","Forb/herb","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APIUM","","Apium","celery","Dicot","","","L48(I)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APGR2","","Apium graveolens","wild celery","Dicot","Perennial","Forb/herb","L48(I)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APGRD","","Apium graveolens var. dulce","wild celery","Dicot","Perennial","Forb/herb","L48(I)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APPR2","","Apium prostratum","prostrate marshwort","Dicot","Biennial, Perennial","Forb/herb","L48(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APOCY","","Apocynum","dogbane","Dicot","","","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APFL","","Apocynum ×floribundum","","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APAN2","","Apocynum androsaemifolium","spreading dogbane","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APCA","","Apocynum cannabinum","Indianhemp","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","","No","No","No","White","No","Green","Porous","Porous","Medium","White","No","Single Stem","Moderate","","3.3","No","No","Moderate","No","None","No","Erect","Severe","Yes","Yes","Yes","Medium","Medium","No","Medium","Medium","None","100","None","High","4.5","7.0","3100","11000","15","60","12","None","Intermediate","-43","Summer","No Known Source","High","Summer","Fall","No","Yes","No","No","No","No","Yes","No","No","No","500000","Moderate","Medium","No","None","No","No","No","","No","No","No","Low","Low","No","No","","No","No"
"AQUIL","","Aquilegia","columbine","Dicot","","","L48(I,N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQFL","","Aquilegia flavescens","yellow columbine","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQFLF","","Aquilegia flavescens var. flavescens","yellow columbine","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQFLM","","Aquilegia flavescens var. miniata","yellow columbine","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQFO","","Aquilegia formosa","western columbine","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Red","Yes","Green","Porous","","Medium","Brown","Yes","Multiple Stem","Rapid","","3.0","No","No","Short","No","None","No","Erect","None","Yes","Yes","No","Low","Low","No","Medium","Low","High","100","Low","Medium","6.0","7.5","1200","3450","15","60","6","None","Tolerant","-23","Spring","Contracting Only","High","Summer","Fall","No","No","No","Yes","No","No","Yes","No","No","No","248000","Rapid","Medium","No","None","No","No","No","","No","No","Yes","High","High","No","No","Medium","No","No"
"AQVU","","Aquilegia vulgaris","European columbine","Dicot","Perennial","Forb/herb","L48(I)CAN(GP)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARABI","","Arabidopsis","rockcress","Dicot","","","L48(I)CAN(I,N)GL(I,N)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARTH","","Arabidopsis thaliana","mouseear cress","Dicot","Annual","Forb/herb","L48(I)CAN(I)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARABI2","","Arabis","rockcress","Dicot","","","L48(I,N)GL(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARDI2","","Arabis ×divaricarpa","spreadingpod rockcress","Dicot","Biennial, Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Purple","Yes","Green","Moderate","Porous","Coarse","Brown","No","Single Crown","Rapid","","3.0","No","No","Short","No","None","No","Erect","None","Yes","Yes","No","None","Medium","No","High","Low","Medium","80","None","Low","5.0","7.0","11000","18000","28","50","8","None","Tolerant","-28","Late Spring","No Known Source","High","Summer","Summer","No","Yes","No","No","No","No","Yes","No","No","No","500000","Moderate","High","No","None","No","No","No","","No","No","No","Low","Low","No","No","Low","No","No"
"ARCR","","Arabis crucisetosa","wetsoil rockcress","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARCU","","Arabis cusickii","Cusick's rockcress","Dicot","Perennial","Subshrub, Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARDR","","Arabis drummondii","Drummond's rockcress","Dicot","Biennial, Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","","None","Medium","No","No","No","White","Yes","Green","Porous","Porous","Medium","Brown","No","Single Crown","Moderate","","2.0","No","No","Short","No","None","No","Erect","None","Yes","Yes","No","Low","Medium","No","Low","Medium","Low","60","None","Medium","5.4","7.4","","","15","60","6","None","Intermediate","-38","Late Spring","No Known Source","High","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","5000000","Moderate","Medium","No","None","No","No","No","","No","No","No","","","No","No","","No","No"
"ARES5","","Arabis eschscholtziana","Eschscholtz's hairy rockcress","Dicot","Annual, Biennial, Perennial","Forb/herb","L48(N)AK(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARFU","","Arabis furcata","Columbia Gorge rockcress","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARFUF2","","Arabis furcata var. furcata","Columbia Gorge rockcress","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARFUO","","Arabis furcata var. olympica","Columbia Gorge rockcress","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
